Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Peak Freq (Hz)	UNIT
242	Spectrogram 1	1	343.708324562	344.333324551	104.8	1431.7	0.625	1326.9	281.2	17
243	Spectrogram 1	1	345.201442376	346.793704254	384.1	2479.2	1.592	2095.1	656.2	Z
244	Spectrogram 1	1	347.113156508	347.807636370	69.8	1466.6	0.694	1396.8	281.2	Y
245	Spectrogram 1	1	348.901968274	349.028237340	69.8	1466.6	0.126	1396.8	93.8	19
246	Spectrogram 1	1	349.070327029	349.628015403	34.9	1431.7	0.558	1396.8	281.2	17
247	Spectrogram 1	1	350.496694733	351.687170903	558.7	2479.2	1.190	1920.5	796.9	Z
248	Spectrogram 1	1	352.032375978	352.508566446	139.7	1536.4	0.476	1396.8	140.6	X
249	Spectrogram 1	1	352.657375967	353.014518818	104.8	1536.4	0.357	1431.7	140.6	X
250	Spectrogram 1	1	353.297256908	353.847852137	209.5	1536.4	0.551	1326.9	281.2	X
251	Spectrogram 1	1	353.966899754	354.487733078	174.6	1536.4	0.521	1361.8	1125.0	X
252	Spectrogram 1	1	354.606780695	355.053209259	209.5	1536.4	0.446	1326.9	421.9	X
253	Spectrogram 1	1	355.142494972	355.693090200	349.2	1536.4	0.551	1187.2	1078.1	X
254	Spectrogram 1	1	355.767494961	356.318090189	209.5	1536.4	0.551	1326.9	1078.1	X
255	Spectrogram 1	1	356.392494950	356.883566370	209.5	1571.3	0.491	1361.8	1078.1	X
256	Spectrogram 1	1	357.032375891	357.493685407	104.8	1536.4	0.461	1431.7	281.2	X
257	Spectrogram 1	1	357.642494928	358.222852061	104.8	1536.4	0.580	1431.7	468.8	X
258	Spectrogram 1	1	358.773447289	361.288328198	523.8	2479.2	2.515	1955.5	1265.6	Z
259	Spectrogram 1	1	367.326309937	369.677500372	488.9	2514.2	2.351	2025.3	656.2	Z
260	Spectrogram 1	1	370.062040638	370.538231106	69.8	1466.6	0.476	1396.8	375.0	17
261	Spectrogram 1	1	371.535254898	372.026326318	34.9	1501.5	0.491	1466.6	375.0	17
262	Spectrogram 1	1	373.931088190	374.615611987	34.9	1501.5	0.685	1466.6	46.9	17
263	Spectrogram 1	1	378.754102640	380.584459751	558.7	2514.2	1.830	1955.5	843.8	Z
264	Spectrogram 1	1	380.925135687	381.401326155	34.9	1466.6	0.476	1431.7	328.1	17
265	Spectrogram 1	1	382.130492809	382.651326134	0.0	1466.6	0.521	1466.6	281.2	17
266	Spectrogram 1	1	385.085711869	385.413092816	69.8	1501.5	0.327	1431.7	468.8	17
267	Spectrogram 1	1	385.889283284	387.347616592	436.5	2514.2	1.458	2077.7	1453.1	Z
268	Spectrogram 1	1	387.652440211	388.292321152	69.8	1536.4	0.640	1466.6	281.2	Y
269	Spectrogram 1	1	388.539754594	389.373087913	69.8	1501.5	0.833	1431.7	468.8	Y
270	Spectrogram 1	1	389.929225886	391.387559194	628.5	2479.2	1.458	1850.7	1359.4	Z
